player_id,age_group,prior_coding_exp,motivation_type,sessions_played,avg_session_time_min,levels_attempted,levels_completed,completion_rate,initial_difficulty,current_difficulty,difficulty_jump,avg_attempts_per_level,syntax_errors,logic_errors,hints_used,hint_rate,forum_posts,badges_earned,streak_days,time_between_sessions,performance_score,flow_score,optimal_difficulty,churned
P0145,16-18,2,Social,17,30.94,33,13,0.394,2,1,1,6.54,11,11,1,0.03,3,2,7,1.57,35.42,66.79,1,0
P0146,13-15,0,Social,9,12.65,26,21,0.808,4,7,3,4.35,6,5,2,0.077,1,3,0,2.22,50.93,82.08,1,0
P0147,19-22,5,Extrinsic,12,20.8,28,21,0.75,3,4,1,2.84,5,3,3,0.107,2,1,0,4.06,69.41,82.29,1,0
P0148,16-18,1,Intrinsic,6,8.14,17,5,0.294,5,7,2,3.03,5,5,2,0.118,0,2,2,6.39,36.19,57.18,0,0
P0149,13-15,0,Extrinsic,18,18.85,37,23,0.622,5,8,3,1.91,6,1,2,0.054,2,3,1,1.87,49.59,73.46,1,0
P0150,16-18,1,Intrinsic,19,22.27,41,24,0.585,4,7,3,5.73,14,8,5,0.122,3,4,2,1.02,44.08,69.61,1,0
P0151,23-30,5,Extrinsic,13,15.16,25,15,0.6,4,6,2,1.0,3,1,3,0.12,1,1,1,1.15,68.0,72.4,1,0
P0152,13-15,1,Intrinsic,15,18.34,26,17,0.654,2,5,3,4.49,10,9,5,0.192,3,3,4,3.58,48.43,70.92,1,0
P0153,13-15,0,Extrinsic,3,10.73,5,3,0.6,4,7,3,4.19,3,5,5,1.0,1,5,3,2.51,46.02,44.0,0,0
P0154,16-18,1,Intrinsic,13,22.62,37,16,0.432,5,7,2,7.36,8,8,1,0.027,2,3,3,2.0,32.4,66.81,1,0
P0155,23-30,3,Intrinsic,7,30.45,20,11,0.55,1,2,1,1.0,3,2,6,0.3,0,4,4,0.68,62.5,66.5,1,0
P0156,13-15,3,Social,7,13.22,10,7,0.7,3,5,2,2.65,6,5,3,0.3,0,2,3,6.25,61.38,72.0,1,0
P0157,19-22,4,Intrinsic,9,17.02,15,14,0.933,2,1,1,3.3,7,6,2,0.133,0,2,4,4.56,73.09,90.67,1,0
P0158,19-22,4,Extrinsic,8,26.02,17,12,0.706,3,2,1,3.2,6,3,4,0.235,0,5,6,0.5,68.73,76.24,1,0
P0159,13-15,1,Intrinsic,6,31.7,10,9,0.9,3,2,1,2.68,6,3,1,0.1,0,1,2,1.37,59.81,90.0,1,0
P0160,19-22,4,Intrinsic,20,10.05,40,31,0.775,3,2,1,3.38,9,2,1,0.025,2,3,2,2.34,68.05,86.0,1,0
P0161,16-18,1,Intrinsic,9,20.65,15,9,0.6,3,3,0,1.11,2,1,1,0.067,2,4,4,1.82,56.22,78.0,1,0
P0162,19-22,3,Intrinsic,8,24.27,17,5,0.294,5,6,1,4.04,9,7,0,0.0,4,0,5,1.52,38.68,62.71,1,0
P0163,19-22,3,Social,24,21.18,45,32,0.711,3,3,0,1.0,4,2,3,0.067,3,3,3,3.81,67.44,83.56,1,0
P0164,16-18,1,Intrinsic,20,5.0,40,33,0.825,4,7,3,4.46,7,3,5,0.125,1,3,14,0.5,55.35,81.5,1,0
P0165,13-15,1,Social,14,26.01,22,5,0.227,2,5,3,3.6,9,6,8,0.364,1,2,3,1.91,32.09,44.45,0,1
P0166,19-22,4,Extrinsic,8,34.15,17,13,0.765,3,5,2,5.52,9,12,3,0.176,2,6,4,0.91,66.78,78.94,1,0
P0167,16-18,3,Intrinsic,6,22.93,17,8,0.471,3,2,1,6.13,10,5,1,0.059,1,3,2,0.5,44.99,69.76,1,0
P0168,13-15,0,Extrinsic,15,13.75,29,7,0.241,2,4,2,3.5,8,6,5,0.172,0,1,9,1.88,27.4,52.9,0,0
P0169,13-15,0,Extrinsic,27,17.89,50,29,0.58,2,5,3,6.59,8,11,4,0.08,0,4,4,0.56,37.73,70.6,1,0
P0170,19-22,1,Extrinsic,16,36.16,44,17,0.386,3,2,1,3.03,5,4,1,0.023,1,2,8,0.9,39.89,66.64,1,0
P0171,19-22,5,Intrinsic,9,29.28,26,22,0.846,3,4,1,2.05,4,2,1,0.038,3,3,1,2.12,78.22,89.15,1,0
P0172,13-15,0,Intrinsic,7,27.12,18,14,0.778,3,6,3,7.12,8,8,6,0.333,0,1,4,10.92,39.81,72.89,1,0
P0173,16-18,3,Social,15,24.85,37,20,0.541,2,4,2,4.78,10,10,1,0.027,1,2,2,3.46,49.67,72.22,1,0
P0174,13-15,0,Social,7,16.71,19,12,0.632,2,4,2,4.01,12,5,1,0.053,1,7,4,0.98,50.75,76.0,1,0
P0175,19-22,5,Social,13,20.4,20,18,0.9,3,6,3,5.53,9,14,7,0.35,4,4,7,1.45,73.17,78.5,1,0
P0176,13-15,0,Intrinsic,17,21.38,37,24,0.649,1,1,0,3.41,6,3,1,0.027,1,4,5,1.56,48.42,81.62,1,0
P0177,19-22,5,Extrinsic,14,26.4,41,24,0.585,2,3,1,3.4,7,7,1,0.024,1,2,6,0.5,62.92,76.54,1,0
P0178,16-18,0,Extrinsic,15,34.07,39,21,0.538,1,4,3,2.51,7,3,3,0.077,0,1,3,0.53,41.76,68.62,1,0
P0179,23-30,4,Extrinsic,27,30.95,50,38,0.76,1,4,3,4.09,8,2,5,0.1,2,4,14,0.5,67.16,79.0,1,0
P0180,13-15,0,Intrinsic,10,10.64,26,15,0.577,2,4,2,4.93,12,10,7,0.269,2,2,6,2.21,38.74,66.77,1,0
P0181,16-18,1,Extrinsic,9,23.79,25,22,0.88,1,1,0,2.82,5,2,0,0.0,1,1,0,3.36,58.66,94.0,1,0
P0182,13-15,2,Intrinsic,4,27.89,10,7,0.7,2,1,1,4.85,10,6,3,0.3,0,2,6,2.68,51.87,74.0,1,0
P0183,23-30,3,Intrinsic,12,26.95,31,12,0.387,3,2,1,4.08,9,8,1,0.032,1,0,1,11.42,42.3,66.39,1,0
P0184,23-30,4,Social,13,16.97,29,17,0.586,1,3,2,2.68,5,4,0,0.0,2,5,8,0.5,65.24,75.31,1,0
P0185,16-18,3,Intrinsic,14,45.31,40,20,0.5,3,2,1,1.52,2,0,6,0.15,1,2,6,12.91,56.2,68.5,1,0
P0186,19-22,4,Intrinsic,11,11.78,30,15,0.5,5,8,3,4.26,10,4,6,0.2,0,3,6,1.89,54.84,63.0,1,0
P0187,19-22,4,Intrinsic,15,13.33,41,35,0.854,4,4,0,2.21,3,3,1,0.024,1,2,0,0.74,72.61,91.95,1,0
P0188,19-22,4,Social,8,23.87,20,9,0.45,2,2,0,3.5,5,4,1,0.05,0,1,3,8.61,51.74,71.0,1,0
P0189,16-18,5,Extrinsic,10,38.93,19,4,0.211,5,5,0,1.92,2,2,3,0.158,0,1,1,1.9,50.11,55.79,0,0
